iso_issued,issued,iso_expired,expired,eventid,phenomena,significance,hvtec_nwsli,wfo,ugc,name,ph_name,sig_name,url
2015-12-30T08:48:00Z,2015-12-30T08:48:00Z,2015-12-31T07:24:00Z,2015-12-31T07:24:00Z,1,FA,A,00000,RAH,NCZ025,Flood Watch,Flood,Watch,/vtec/#2015-O-NEW-KRAH-FA-A-0001
2016-01-12T17:00:00Z,2016-01-12T17:00:00Z,2016-01-12T23:00:00Z,2016-01-12T23:00:00Z,1,WI,Y,NA,RAH,NCZ025,Wind Advisory,Wind,Advisory,/vtec/#2016-O-NEW-KRAH-WI-Y-0001
2016-01-20T22:23:00Z,2016-01-20T22:23:00Z,2016-01-21T03:15:00Z,2016-01-21T03:15:00Z,1,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2016-O-NEW-KRAH-WW-Y-0001
2016-01-22T05:00:00Z,2016-01-22T05:00:00Z,2016-01-21T09:52:00Z,2016-01-21T09:52:00Z,1,WS,A,NA,RAH,NCZ025,Winter Storm Watch,Winter Storm,Watch,/vtec/#2016-O-NEW-KRAH-WS-A-0001
2016-01-22T05:00:00Z,2016-01-22T05:00:00Z,2016-01-23T23:00:00Z,2016-01-23T23:00:00Z,1,WS,W,NA,RAH,NCZ025,Winter Storm Warning,Winter Storm,Warning,/vtec/#2016-O-NEW-KRAH-WS-W-0001
2016-01-23T23:00:00Z,2016-01-23T23:00:00Z,2016-01-24T17:00:00Z,2016-01-24T17:00:00Z,2,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2016-O-NEW-KRAH-WW-Y-0002
2016-02-15T05:00:00Z,2016-02-15T05:00:00Z,2016-02-16T03:00:00Z,2016-02-16T03:00:00Z,6,WW,Y,NA,RAH,NCZ025,Winter Weather Advisory,Winter Weather,Advisory,/vtec/#2016-O-NEW-KRAH-WW-Y-0006
2016-02-15T05:00:00Z,2016-02-15T05:00:00Z,2016-02-14T20:53:00Z,2016-02-14T20:53:00Z,2,WS,A,NA,RAH,NCZ025,Winter Storm Watch,Winter Storm,Watch,/vtec/#2016-O-NEW-KRAH-WS-A-0002
2016-02-16T04:34:00Z,2016-02-16T04:34:00Z,2016-02-16T08:31:00Z,2016-02-16T08:31:00Z,1,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2016-O-NEW-KRAH-FG-Y-0001
2016-02-21T10:34:00Z,2016-02-21T10:34:00Z,2016-02-21T14:00:00Z,2016-02-21T14:00:00Z,2,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2016-O-NEW-KRAH-FG-Y-0002
2016-02-24T14:00:00Z,2016-02-24T14:00:00Z,2016-02-25T19:00:00Z,2016-02-25T19:00:00Z,2,WI,Y,NA,RAH,NCZ025,Wind Advisory,Wind,Advisory,/vtec/#2016-O-NEW-KRAH-WI-Y-0002
2016-03-22T08:00:00Z,2016-03-22T08:00:00Z,2016-03-22T12:59:00Z,2016-03-22T12:59:00Z,1,FR,Y,NA,RAH,NCZ025,Frost Advisory,Frost,Advisory,/vtec/#2016-O-NEW-KRAH-FR-Y-0001
2016-04-06T06:00:00Z,2016-04-06T06:00:00Z,2016-04-05T06:49:00Z,2016-04-05T06:49:00Z,1,FZ,A,NA,RAH,NCZ025,Freeze Watch,Freeze,Watch,/vtec/#2016-O-NEW-KRAH-FZ-A-0001
